5 13
3 3

1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0

1 1 0 1 0 1 0 1 0 1 1 1
1 0 0 1 0 1 0 1 0 1 1 1
1 0 0 1 0 1 0 1 0 1 1 1
1 0 0 0 0 0 0 1 0 1 1 1
1 0 0 0 0 0 0 1 0 1 1 1

0  0 0 0 1 2 3 4 5 6 7 8 9 10 11 11 11
0  0 0 0 1 2 3 3 3

0.5	3	0
1	3	0
1.5	3	0
2	3	0
2.5	3	0
3	3	0
3.5	3	0
4	3	0
4.5	3	0
5	3	0
5.5	3	0
6	3	0
6.5	3	0
7	3	0

0.5	2.5	0
1	2.5	0
1.5	2.5	0
2	2.5	0
2.5	2.5	0
3	2.5	0
3.5	2.5	0
4	2.5	0
4.5	2.5	0
5	2.5	0
5.5	2.5	0
6	2.5	0
6.5	2.5	0
7	2.5	0

0.5	2	0
1	2	0
1.5	2	0
2	2	0
2.5	2	0
3	2	0
3.5	2	0
4	2	0
4.5	2	0
5	2	0
5.5	2	0
6	2	0
6.5	2	0
7	2	0

0.5	1.5	0
1	1.5	0
1.5	1.5	0
2	1.5	0
2.5	1.5	0
3	1.5	0
3.5	1.5	0
4	1.5	0
4.5	1.5	0
5	1.5	0
5.5	1.5	0
6	1.5	0
6.5	1.5	0
7	1.5	0

0.5	1	0
1	1	0
1.5	1	0
2	1	0
2.5	1	0
3	1	0
3.5	1	0
4	1	0
4.5	1	0
5	1	0
5.5	1	0
6	1	0
6.5	1	0
7	1	0

0.5	0.5	0
1	0.5	0
1.5	0.5	0
2	0.5	0
2.5	0.5	0
3	0.5	0
3.5	0.5	0
4	0.5	0
4.5	0.5	0
5	0.5	0
5.5	0.5	0
6	0.5	0
6.5	0.5	0
7	0.5	0

END
