6 6
3 3

1 1 1 1 0 0
1 1 1 1 0 0
1 1 1 1 0 0
0 0 0 0 1 1
0 1 0 0 0 0

0 1 1 1 0
1 1 1 1 0
1 1 1 1 0
1 1 1 1 0
1 1 1 1 0
1 1 1 1 0

0  0 0 0 1 2 3 4 4 4
0  0 0 0 1 2 3 4 4 4

0.5	3.5	0.877128489112
1	3.5	0
1.5	3.5	-3.72416440584
2	4.89454072896	0
2.5	3.5	-1.27306792943
3	3.5	0
3.5	3.5	1.96209908317

0.5	3	0
1	4.39989636882	0
1.5	3	0
2	3	0
2.5	2.81780840941	2.06482744088
3	3	0
3.5	3	0

0.5	2.5	2.80278871533
1.40628660148	2.5	-4.11468924514
1.5	2.89631580075	0.262333363351
2	2.5	-2.07406973954
6.07006854757	2.5	0
3	2.5	0
3.5	2.5	0

0.5	2	2.06822026411
0.335167426044	2	2.59548717065
1.5	2	0
2	2	0
2.5	2	0
3	2	0
3.5	2	0

0.5	1.5	0
1	1.5	0
1.5	1.5	0
2	1.5	0
2.5	1.5	-2.61891060683
3	1.5	0
3.5	1.5	1.03729704769

0.5	1	0
1	1	4.02245800952
1.5	1	0
2	1	0
2.5	1	0
3	1	0
3.5	1	0

0.5	0.5	3.36704277645
1	0.5	0.996326097683
1.5	0.5	0
2	0.5	3.4243740641
2.5	0.5	0
3	0.5	0
3.5	1.10382480852	-1.56172196119

END
